language,model,audio_path,human_mos,rater
hindi,kokoro,audio/hindi/kokoro_08.wav,4,panel
hindi,kokoro,audio/hindi/kokoro_09.wav,4,panel
english,openvoice,audio/english/openvoice_00.wav,4,panel
english,openvoice,audio/english/openvoice_01.wav,4,panel
english,openvoice,audio/english/openvoice_02.wav,4,panel
english,openvoice,audio/english/openvoice_03.wav,4,panel
english,openvoice,audio/english/openvoice_04.wav,4,panel
english,openvoice,audio/english/openvoice_05.wav,4,panel
english,openvoice,audio/english/openvoice_06.wav,4,panel
english,openvoice,audio/english/openvoice_07.wav,4,panel
english,openvoice,audio/english/openvoice_08.wav,4,panel
english,openvoice,audio/english/openvoice_09.wav,4,panel
english,fish_speech,audio/english/fish_speech_00.wav,4,panel
english,fish_speech,audio/english/fish_speech_01.wav,4,panel
english,fish_speech,audio/english/fish_speech_02.wav,4,panel
english,fish_speech,audio/english/fish_speech_03.wav,4,panel
english,fish_speech,audio/english/fish_speech_04.wav,5,panel
english,fish_speech,audio/english/fish_speech_05.wav,4,panel
english,fish_speech,audio/english/fish_speech_06.wav,5,panel
english,fish_speech,audio/english/fish_speech_07.wav,4,panel
english,fish_speech,audio/english/fish_speech_08.wav,4,panel
english,fish_speech,audio/english/fish_speech_09.wav,5,panel
arabic,fish_speech,audio/arabic/fish_speech_00.wav,4,panel
arabic,fish_speech,audio/arabic/fish_speech_01.wav,4,panel
arabic,fish_speech,audio/arabic/fish_speech_02.wav,4,panel
arabic,fish_speech,audio/arabic/fish_speech_03.wav,5,panel
arabic,fish_speech,audio/arabic/fish_speech_04.wav,5,panel
arabic,fish_speech,audio/arabic/fish_speech_05.wav,5,panel
arabic,fish_speech,audio/arabic/fish_speech_06.wav,5,panel
arabic,fish_speech,audio/arabic/fish_speech_07.wav,4,panel
arabic,fish_speech,audio/arabic/fish_speech_08.wav,4,panel
arabic,fish_speech,audio/arabic/fish_speech_09.wav,4,panel
hindi,fish_speech,audio/hindi/fish_speech_00.wav,4,panel
hindi,fish_speech,audio/hindi/fish_speech_01.wav,4,panel
hindi,fish_speech,audio/hindi/fish_speech_02.wav,4,panel
hindi,fish_speech,audio/hindi/fish_speech_03.wav,4,panel
hindi,fish_speech,audio/hindi/fish_speech_04.wav,4,panel
hindi,fish_speech,audio/hindi/fish_speech_05.wav,4,panel
hindi,fish_speech,audio/hindi/fish_speech_06.wav,4,panel
hindi,fish_speech,audio/hindi/fish_speech_07.wav,4,panel
hindi,fish_speech,audio/hindi/fish_speech_08.wav,4,panel
hindi,fish_speech,audio/hindi/fish_speech_09.wav,4,panel
